,influencer,title,author_x,subtitle,id_code,identifier_type,author_y,title_en,title_pt,isbn_pt,img_amz
650,Neil deGrasse Tyson,The Wealth of Nations,Adam Smith,,1731703619,ISBN,Adam Smith,The Wealth of Nations,Box A riqueza das nações,8546900981,"https://images-na.ssl-images-amazon.com/images/I/41NqKU3+S3L._SY344_BO1,204,203,200_.jpg"
651,Elon Musk,If the Universe Is Teeming with Aliens ... Where is Everybody?,Stephen Webb,Seventy-Five Solutions to the Fermi Paradox and the Problem of Extraterrestrial Life,3319132350,ISBN,Stephen Webb,If the Universe Is Teeming with Aliens ... Where is Everybody?,,,"https://images-na.ssl-images-amazon.com/images/I/51jz8WrE2kL._SX331_BO1,204,203,200_.jpg"
652,Elon Musk,Atlas Shrugged,Ayn Rand,,452011876,ISBN,Ayn Rand,Atlas Shrugged,A revolta de Atlas,8580417589,https://images-na.ssl-images-amazon.com/images/I/51g2aLqsRZL._AC_.jpg
653,Steve Jobs,Atlas Shrugged,Ayn Rand,,452011876,ISBN,Ayn Rand,Atlas Shrugged,A revolta de Atlas,8580417589,https://images-na.ssl-images-amazon.com/images/I/51g2aLqsRZL._AC_.jpg
654,Peter Thiel,Atlas Shrugged,Ayn Rand,,452011876,ISBN,Ayn Rand,Atlas Shrugged,A revolta de Atlas,8580417589,https://images-na.ssl-images-amazon.com/images/I/51g2aLqsRZL._AC_.jpg
655,Travis Kalanick,Atlas Shrugged,Ayn Rand,,452011876,ISBN,Ayn Rand,Atlas Shrugged,A revolta de Atlas,8580417589,https://images-na.ssl-images-amazon.com/images/I/51g2aLqsRZL._AC_.jpg
656,Elon Musk,Merchants of Doubt,Naomi Oreskes,How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,1608193942,ISBN,Naomi Oreskes,Merchants of Doubt,,,https://m.media-amazon.com/images/I/41ejh+BM1EL._SY346_.jpg
657,Elon Musk,Modern Engineering for Design of Liquid Propellant Rocket Engines,Dieter K Huzel,,1563470136,ISBN,Dieter K Huzel,Modern Engineering for Design of Liquid Propellant Rocket Engines,,,https://images-na.ssl-images-amazon.com/images/I/41ZwRcUoChL.jpg
658,Elon Musk,The Age of Napoleon,Will & Ariel Durant,,1567310222,ISBN,Will & Ariel Durant,The Age of Napoleon,A Era De Napoleao,8501288314,https://d1pkzhm5uq4mnt.cloudfront.net/imagens/capas/_b56316e86d703f51cc401a36fffa971b43c54ebf.jpg
659,Elon Musk,Our Final Invention,James Barrat,Artificial Intelligence and the End of the Human Era,1250058783,ISBN,James Barrat,Our Final Invention,,,https://m.media-amazon.com/images/I/41-x4P2ChOL._SY346_.jpg
660,Sam Harris,Our Final Invention,James Barrat,Artificial Intelligence and the End of the Human Era,1250058783,ISBN,James Barrat,Our Final Invention,,,https://m.media-amazon.com/images/I/41-x4P2ChOL._SY346_.jpg
661,Elon Musk,Dune,Frank Herbert,,441172717,ISBN,Frank Herbert,Dune,Duna,,https://m.media-amazon.com/images/I/41xzB5wUKSL.jpg
662,Tim Ferriss,Dune,Frank Herbert,,441172717,ISBN,Frank Herbert,Dune,Duna,,https://m.media-amazon.com/images/I/41xzB5wUKSL.jpg
663,Jeff Bezos,Dune,Frank Herbert,,441172717,ISBN,Frank Herbert,Dune,Duna,,https://m.media-amazon.com/images/I/41xzB5wUKSL.jpg
664,Seth Godin,Dune,Frank Herbert,,441172717,ISBN,Frank Herbert,Dune,Duna,,https://m.media-amazon.com/images/I/41xzB5wUKSL.jpg
665,Adam Savage,Dune,Frank Herbert,,441172717,ISBN,Frank Herbert,Dune,Duna,,https://m.media-amazon.com/images/I/41xzB5wUKSL.jpg
666,Elon Musk,Benjamin Franklin,Walter Isaacson,An American Life,074325807X,ISBN,Walter Isaacson,Benjamin Franklin,Benjamin Franklin,8535926429,https://images-na.ssl-images-amazon.com/images/I/A1HGQsrMZcL.jpg
667,Tim Ferriss,Benjamin Franklin,Walter Isaacson,An American Life,074325807X,ISBN,Walter Isaacson,Benjamin Franklin,Benjamin Franklin,8535926429,https://images-na.ssl-images-amazon.com/images/I/A1HGQsrMZcL.jpg
668,Ray Dalio,Benjamin Franklin,Walter Isaacson,An American Life,074325807X,ISBN,Walter Isaacson,Benjamin Franklin,Benjamin Franklin,8535926429,https://images-na.ssl-images-amazon.com/images/I/A1HGQsrMZcL.jpg
669,Elon Musk,Foundation,Isaac Asimov,,553293354,ISBN,Isaac Asimov,Foundation,Trilogia da Fundação,8576571978,"https://images-na.ssl-images-amazon.com/images/I/41MQ4k8f3hL._SX258_BO1,204,203,200_.jpg"
670,Elon Musk,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,345418913,ISBN,Douglas Adams,The Hitchhiker's Guide to the Galaxy,O guia do mochileiro das galáxias,9788599296578,https://images-na.ssl-images-amazon.com/images/I/819aEjaXniL.jpg
671,Tim Ferriss,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,345418913,ISBN,Douglas Adams,The Hitchhiker's Guide to the Galaxy,O guia do mochileiro das galáxias,9788599296578,https://images-na.ssl-images-amazon.com/images/I/819aEjaXniL.jpg
672,Richard Branson,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,345418913,ISBN,Douglas Adams,The Hitchhiker's Guide to the Galaxy,O guia do mochileiro das galáxias,9788599296578,https://images-na.ssl-images-amazon.com/images/I/819aEjaXniL.jpg
673,Elon Musk,Human Compatible,Stuart Russell,Artificial Intelligence and the Problem of Control,525558616,ISBN,Stuart Russell,Human Compatible,,,"https://images-na.ssl-images-amazon.com/images/I/41nz36A4RdL._SX329_BO1,204,203,200_.jpg"
674,Elon Musk,Howard Hughes,Donald L. Barlett,His Life and Madness,393326020,ISBN,Donald L. Barlett,Howard Hughes,,,https://images-na.ssl-images-amazon.com/images/I/51H4ag1h1xL.jpg
675,Elon Musk,State of the Art,Iain M. Banks,A Culture Novel Book 4,1857230302,ISBN,Iain M. Banks,State of the Art,,,https://images-na.ssl-images-amazon.com/images/I/41PqL0sJTdL.jpg
676,Jeff Bezos,State of the Art,Iain M. Banks,A Culture Novel Book 4,1857230302,ISBN,Iain M. Banks,State of the Art,,,https://images-na.ssl-images-amazon.com/images/I/41PqL0sJTdL.jpg
677,Elon Musk,Inversions,Iain M. Banks,,1857237633,ISBN,Iain M. Banks,Inversions,,,"https://images-na.ssl-images-amazon.com/images/I/31-0ksLZl7L._BO1,204,203,200_.jpg"
678,Jeff Bezos,Inversions,Iain M. Banks,,1857237633,ISBN,Iain M. Banks,Inversions,,,"https://images-na.ssl-images-amazon.com/images/I/31-0ksLZl7L._BO1,204,203,200_.jpg"
679,Elon Musk,Excession,Iain M. Banks,A Culture Novel Book 5,185723457X,ISBN,Iain M. Banks,Excession,,,https://images-na.ssl-images-amazon.com/images/I/91GSymNOG+L.jpg
680,Jeff Bezos,Excession,Iain M. Banks,A Culture Novel Book 5,185723457X,ISBN,Iain M. Banks,Excession,,,https://images-na.ssl-images-amazon.com/images/I/91GSymNOG+L.jpg
681,Jordan Peterson,The Myth of Mental Illness,Thomas S. Szasz,Foundations of a Theory of Personal Conduct,61771228,ISBN,Thomas S. Szasz,The Myth of Mental Illness,,,"https://images-na.ssl-images-amazon.com/images/I/51wegpu64iL._SX326_BO1,204,203,200_.jpg"
682,Jordan Peterson,Panzram,Thomas E. Gaddis,A Journal of Murder,1878923145,ISBN,Thomas E. Gaddis,Panzram,,,"https://images-na.ssl-images-amazon.com/images/I/51tmDgkvfSL._SX334_BO1,204,203,200_.jpg"
683,Jocko Willink,Panzram,Thomas E. Gaddis,A Journal of Murder,1878923145,ISBN,Thomas E. Gaddis,Panzram,,,"https://images-na.ssl-images-amazon.com/images/I/51tmDgkvfSL._SX334_BO1,204,203,200_.jpg"
